Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname_tfidf_0,Surname_tfidf_1,Surname_tfidf_2,Surname_tfidf_3,Surname_tfidf_4,France,Germany,Spain,Female,Male,Mem__no__Products,Cred_Bal_Sal,Bal_sal,Tenure_Age,Age_Tenure_product
1234,707.0,29.0,9.0,0.0,2.0,0,0,160976.85,0,"-33.650.551.796.803.700,00","41.633.597.841.812.800,00","10.514.330.838.462.300,00","-17.397.073.028.674.600,00","35.116.932.904.321.100,00",0,0,1,0,1,0.0,0.0,0.0,"3.103.448.275.862.060,00",261.0
2662,691.0,54.0,8.0,155739.76,1.0,0,1,171575.54,0,"-1.710.817.534.465.980,00","-185.449.138.081.807,00","20.826.115.704.717.000,00","-12.879.142.678.779.800,00","2.306.201.200.390.680,00",1,0,0,1,0,1.0,"6.272.232.869.557.040,00","9.077.037.437.853.900,00","14.814.814.814.814.800,00",432.0
165,709.0,39.0,9.0,0.0,2.0,1,0,49553.38,0,"32.773.960,60","135.956.201.186,88","124.862.989.792,27","-119.249.709.468,16","-27.162.696.939,08",1,0,0,0,1,0.0,0.0,0.0,"23.076.923.076.923.000,00",351.0
2306,767.0,68.0,5.0,0.0,2.0,1,1,67445.85,0,"4.228,31","21.622,12","-13.320,24","1.372.389,72","3.747,99",0,0,1,0,1,2.0,0.0,0.0,"7.352.941.176.470.580,00",340.0
881,536.0,34.0,3.0,111589.33,1.0,1,0,27097.82,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,"22.072.580.333.030.400,00","411.801.871.884.897,00","8.823.529.411.764.700,00",102.0
2695,728.0,22.0,8.0,154737.56,2.0,1,1,27474.41,0,"-3.576.053.551,09","15.583.502.144,21","-3.895.598.023,09","132.462.152.071,38","148.591.423.064,15",0,1,0,0,1,2.0,"4.100.140.591.918.070,00","5.632.061.252.634.720,00","36.363.636.363.636.300,00",176.0
1588,650.0,30.0,6.0,0.0,1.0,0,0,67997.13,1,"-740,68","2.926,02","-34.730,31","-280.836,90","101.465,13",1,0,0,1,0,0.0,0.0,0.0,0.2,180.0
2094,627.0,37.0,1.0,0.0,2.0,1,0,98949.85,0,"303.705,52","-201.065.154,69","-69.676.284,29","283.556.914,25","-62.187.555,46",1,0,0,0,1,0.0,0.0,0.0,"2.702.702.702.702.700,00",37.0
551,824.0,47.0,5.0,114321.27,1.0,1,1,174431.01,1,"33.696.345,91","-461.901.267,18","416.287.034,85","-204.836.968,60","-1.306.168.846,56",1,0,0,0,1,1.0,"5.400.457.549.377.250,00","6.553.953.336.622.880,00","10.638.297.872.340.400,00",235.0
2856,669.0,44.0,2.0,84474.62,2.0,0,1,124596.63,0,"-69.554.484,95","-129.054.572,16","-406.974.431,58","-624.494.856,66","-11.820.044.795,39",0,1,0,1,0,2.0,"4.535.718.243.743.830,00","6.779.847.897.972.840,00","45.454.545.454.545.400,00",88.0
1742,744.0,43.0,4.0,140137.15,1.0,1,0,194073.33,1,"3.644,85","247.234,07","31.813,46","512.652,77","215.260,58",0,0,1,1,0,0.0,"5.372.301.263.651.210,00","7.220.835.031.789.270,00","9.302.325.581.395.340,00",172.0
371,758.0,25.0,5.0,0.0,2.0,0,1,54926.51,0,"-15.194,46","-236.631,37","2.619,48","-46.265,09","329.410,65",1,0,0,0,1,2.0,0.0,0.0,0.2,125.0
1972,678.0,49.0,5.0,113722.47,1.0,1,1,141798.98,1,"2.169.045,01","430.312,43","653.709,94","29.752.575,32","988.497,76",0,1,0,0,1,1.0,"5.437.545.083.892.700,00","8.019.977.999.841.740,00","10.204.081.632.653.000,00",245.0
1595,834.0,34.0,8.0,0.0,2.0,1,0,72969.9,0,"-3.253,26","-243.830,42","-37.655,56","-144.721,01","-92.887,07",1,0,0,0,1,0.0,0.0,0.0,"23.529.411.764.705.800,00",272.0
984,830.0,39.0,2.0,102721.49,1.0,0,1,33114.24,1,"-7.737.152.502.300.290,00","11.218.196.741.012.700,00","15.684.298.783.022.500,00","-14.089.756.249.536.900,00","21.604.026.209.024.400,00",0,0,1,0,1,1.0,"2.574.688.010.354.450,00","310.203.374.741.501,00","5.128.205.128.205.120,00",78.0
2869,712.0,26.0,8.0,0.0,2.0,1,0,119327.45,0,"-743.714,83","26.651.785,27","-48.498.133,89","42.269.614,75","-37.518.951,12",1,0,0,1,0,0.0,0.0,0.0,"3.076.923.076.923.070,00",208.0
1228,721.0,57.0,3.0,0.0,2.0,1,1,102085.72,0,"-392.302.312.755,70","-2.702.738.330.012.430,00","-88.675.144.639,13","2.501.445.451.971.860,00","29.699.949.704.962.900,00",1,0,0,0,1,2.0,0.0,0.0,"5.263.157.894.736.840,00",171.0
1573,720.0,40.0,8.0,102882.4,2.0,1,1,35633.15,1,"20.935.539.668.131.500,00","6.491.642.022.669.060,00","-5.902.289.441.122.180,00","4.340.140.635.969.930,00","-12.831.299.400.081.400,00",0,1,0,0,1,2.0,"20.788.318.742.519.200,00","2.887.266.492.016.560,00",0.2,320.0
2043,592.0,30.0,5.0,115101.5,1.0,1,1,56894.08,0,"262.275,77","128.613.328,39","2.957.704,22","21.393.608,25","-72.559.055,86",1,0,0,0,1,1.0,"11.976.656.973.801.100,00","20.230.839.482.772.100,00","16.666.666.666.666.600,00",150.0
449,707.0,43.0,5.0,132615.73,2.0,1,0,32999.1,0,"166,17","4.994,19","-1.994,23","-1.947,67","-6.319,73",0,1,0,0,1,0.0,"284.126.903.794.346,00","4.018.768.087.614.510,00","11.627.906.976.744.100,00",215.0
857,628.0,32.0,7.0,0.0,2.0,1,0,170529.88,0,"-29,59","-845,08","-806,25","-10.059,31","-70,76",1,0,0,0,1,0.0,0.0,0.0,"21.875,00",224.0
2655,663.0,47.0,3.0,0.0,1.0,1,0,17802.42,0,"-23.882.816.940.825.800,00","20.453.348.806.758.500,00","26.712.710.874.340.100,00","9.073.146.426.820.740,00","-61.929.869.178.883.900,00",1,0,0,1,0,0.0,0.0,0.0,"6.382.978.723.404.250,00",141.0
1804,738.0,28.0,0.0,0.0,2.0,1,1,73977.23,0,"-1.113.084.429,16","106.619.645.646,74","36.542.304.809,98","-7.735.910.338,06","-185.368.864.051,76",1,0,0,1,0,2.0,0.0,0.0,0.0,0.0
2570,675.0,39.0,2.0,122446.61,1.0,1,1,54448.41,0,"7.404.551.884.214.980,00","-1.557.829.865.650.530,00","6.473.074.857.287.980,00","-17.903.768.801.332.700,00","9.854.938.557.155.760,00",0,1,0,1,0,1.0,"15.179.775.084.341.300,00","22.488.555.680.505.600,00","5.128.205.128.205.120,00",78.0
1336,558.0,50.0,4.0,142475.81,1.0,1,0,141359.11,1,"32.689.901,76","226.429,72","1.389.462.982,96","-467.833.064,01","3.943.514.689,14",0,1,0,0,1,0.0,"5.624.080.540.688.180,00","10.078.997.384.745.800,00",0.08,200.0
2893,710.0,33.0,7.0,0.0,2.0,1,0,134483.07,0,"-106.432.133.286,51","-7.303.719.367,92","-6.863.056.884,36","-1.411.466.142.607.620,00","-14.290.734.866.233.400,00",1,0,0,1,0,0.0,0.0,0.0,"21.212.121.212.121.200,00",231.0
479,677.0,45.0,4.0,135827.33,2.0,1,1,131778.58,0,"-15.280.513,79","-123.429.759,30","-88.164.470,03","-2.526.286.535,83","-1.565.557.302,66",0,1,0,0,1,2.0,"6.978.000.704.666.870,00","1.030.723.885.475.160,00","8.888.888.888.888.880,00",180.0
1751,611.0,50.0,2.0,0.0,1.0,0,0,137985.69,1,"3.346.669.127,52","27.158.498.064,25","-684.685.244,76","8.973.002.755,74","-30.204.622.601,29",0,0,1,1,0,0.0,0.0,0.0,0.04,100.0
1081,534.0,56.0,10.0,131434.98,1.0,1,0,49775.58,1,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0.0,"14.100.544.749.051.600,00","26.405.514.511.332.600,00","17.857.142.857.142.800,00",560.0
2549,584.0,29.0,7.0,131082.17,2.0,0,0,106663.46,0,"6.559.549,21","84.493.806,59","209.699.552,00","-2.032.393.908,26","-28.576.118.852,53",0,1,0,1,0,0.0,"7.176.964.564.997.230,00","12.289.322.885.269.200,00","2.413.793.103.448.270,00",203.0
2751,645.0,28.0,6.0,106901.42,3.0,0,0,1187.88,1,"83.065.226.551,40","9.769.052.344.005.960,00","16.065.539.886.799,00","-7.042.490.682.870.180,00","18.834.370.862.998,00",0,1,0,0,1,0.0,"58.045.775.583.392.200,00","8.999.345.051.688.720,00","21.428.571.428.571.400,00",168.0
441,687.0,41.0,1.0,0.0,1.0,1,1,28797.32,0,"4.642.149.964.651.770,00","8.392.933.419.600.220,00","-4.454.398.802.156.520,00","8.448.597.821.131.990,00","-19.691.985.973.327.500,00",1,0,0,0,1,1.0,0.0,0.0,"24.390.243.902.439.000,00",41.0
441,539.0,30.0,9.0,124495.57,1.0,1,0,116471.19,0,"4.642.149.964.651.770,00","8.392.933.419.600.220,00","-4.454.398.802.156.520,00","8.448.597.821.131.990,00","-19.691.985.973.327.500,00",0,1,0,1,0,0.0,"576.134.855.581.024,00","10.688.958.359.573.700,00",0.3,270.0
2047,687.0,53.0,8.0,0.0,2.0,1,0,74965.44,1,"-21.136.746.909,35","103.156.366.823,65","7.501.593.559,39","-11.024.922.827.403.700,00","60.026.266.256,13",1,0,0,0,1,0.0,0.0,0.0,"1.509.433.962.264.150,00",424.0
440,640.0,46.0,3.0,121581.56,1.0,1,1,52327.57,1,"39.498.509.386.964.400,00","730.661.974.540.618,00","-36.153.857.024.309.500,00","4.841.459.791.928.920,00","-14.803.245.208.634.600,00",0,1,0,1,0,1.0,"14.870.210.560.131.100,00","23.234.704.000.204.800,00","6.521.739.130.434.780,00",138.0
1704,589.0,35.0,10.0,124577.23,2.0,1,0,823.24,0,"436.911,65","30.081,55","-88.421,00","1.179.710,23","-407.254,11",0,1,0,1,0,0.0,"8.913.073.765.852,00","15.132.553.082.940.500,00","2.857.142.857.142.850,00",350.0
2587,763.0,39.0,9.0,143903.11,2.0,1,1,65801.44,0,"-45.699.908.381,59","-350.425.730.342.667,00","-9.196.356.494.000.950,00","5.093.270.730.667.250,00","12.086.414.588.133.500,00",0,1,0,0,1,2.0,"16.686.272.052.708.800,00","21.869.294.957.678.700,00","23.076.923.076.923.000,00",351.0
1803,562.0,35.0,7.0,118569.03,1.0,1,1,163558.36,0,"157.784.670.659,05","61.147.170.368,72","19.829.439.454,02","45.665.187.685.413.800,00","-164.867.416.143,35",0,1,0,1,0,1.0,"4.074.129.555.957.880,00","7.249.340.846.900.150,00",0.2,245.0
37,549.0,39.0,1.0,138053.79,1.0,1,0,91026.76,0,"4.466,24","2.750.630,16","1.416.199,82","-2.210.614,18","10.818.285,20",1,0,0,1,0,0.0,"8.326.291.159.874.300,00","1.516.628.626.570.910,00","2.564.102.564.102.560,00",39.0
985,611.0,34.0,9.0,0.0,2.0,1,1,160810.85,0,"-390.708.862,45","4.553.554.528,25","-4.696.430.122,08","-70.188.820.003,66","14.267.567.868.892.800,00",1,0,0,1,0,2.0,0.0,0.0,"2.647.058.823.529.410,00",306.0
2389,628.0,31.0,1.0,116244.14,2.0,0,1,149892.79,0,"62.587.671.060,01","126.445.476.336,79","4.107.843.885.343.790,00","1.504.615.701.106.260,00","28.246.899.418.336.900,00",0,1,0,1,0,2.0,"4.870.235.581.044.290,00","7.755.152.199.115.110,00","3.225.806.451.612.900,00",31.0
2061,681.0,25.0,9.0,0.0,2.0,1,0,180800.42,0,"17.669.792.335.250.700,00","-11.055.541.888.179.200,00","19.522.408.197.988.300,00","17.445.254.364.857.300,00","-4.721.835.826.888.340,00",1,0,0,0,1,0.0,0.0,0.0,0.36,225.0
464,648.0,50.0,5.0,116622.73,1.0,1,0,143681.85,1,"574.594.311,24","30.559.521.775,87","116.176.615.995,73","103.192.202.496,34","-32.845.068.510,32",0,1,0,0,1,0.0,"5.259.643.374.580.710,00","8.116.733.602.748.010,00",0.1,250.0
852,705.0,55.0,10.0,106807.64,1.0,0,0,166678.28,1,"2.917.099.283.322.320,00","-4.230.571.786.394.590,00","23.413.879.249.551.400,00","-11.661.484.811.111.800,00","5.238.581.637.951.790,00",0,1,0,0,1,0.0,"4.517.648.382.260.720,00","6.408.011.889.731.520,00","18.181.818.181.818.100,00",550.0
2587,724.0,38.0,1.0,0.0,2.0,1,0,10963.04,0,"-45.699.908.381,59","-350.425.730.342.667,00","-9.196.356.494.000.950,00","5.093.270.730.667.250,00","12.086.414.588.133.500,00",1,0,0,0,1,0.0,0.0,0.0,"2.631.578.947.368.420,00",38.0
636,684.0,21.0,6.0,0.0,2.0,1,1,113046.81,0,"-122.804.795.794,31","-40.680.197.315,54","92.164.070.506,81","-7.363.145.580.927.310,00","408.820.998.386,97",0,0,1,1,0,2.0,0.0,0.0,"2.857.142.857.142.850,00",126.0
2012,705.0,39.0,1.0,0.0,1.0,1,0,164741.5,1,"-35.203.035,00","-190.261.151,37","-239.397.209,10","-84.317.095,03","-430.209.957,17",1,0,0,1,0,0.0,0.0,0.0,"2.564.102.564.102.560,00",39.0
2673,576.0,56.0,2.0,0.0,2.0,1,1,82662.73,0,"-26.443.817,37","-11.983.702.160,26","688.899.662,48","-5.059.024.647,32","-35.232.245.924,47",1,0,0,0,1,2.0,0.0,0.0,"3.571.428.571.428.570,00",112.0
2655,584.0,43.0,1.0,0.0,2.0,1,1,180693.61,0,"-23.882.816.940.825.800,00","20.453.348.806.758.500,00","26.712.710.874.340.100,00","9.073.146.426.820.740,00","-61.929.869.178.883.900,00",1,0,0,1,0,2.0,0.0,0.0,"23.255.813.953.488.300,00",43.0
2061,535.0,37.0,6.0,0.0,2.0,1,1,123663.63,0,"17.669.792.335.250.700,00","-11.055.541.888.179.200,00","19.522.408.197.988.300,00","17.445.254.364.857.300,00","-4.721.835.826.888.340,00",0,0,1,0,1,2.0,0.0,0.0,"16.216.216.216.216.200,00",222.0
1572,579.0,34.0,1.0,0.0,1.0,0,1,125425.47,0,"2.023.234.484.421.950,00","6.274.139.197.093.940,00","-5.704.422.328.829.300,00","4.194.888.618.329.000,00","-12.401.922.009.873.100,00",1,0,0,1,0,1.0,0.0,0.0,"29.411.764.705.882.300,00",34.0
1234,554.0,36.0,1.0,0.0,1.0,1,1,167979.35,0,"-33.650.551.796.803.700,00","41.633.597.841.812.800,00","10.514.330.838.462.300,00","-17.397.073.028.674.600,00","35.116.932.904.321.100,00",0,0,1,0,1,1.0,0.0,0.0,"27.777.777.777.777.700,00",36.0
440,743.0,38.0,1.0,146798.81,1.0,1,1,66580.13,0,"39.498.509.386.964.400,00","730.661.974.540.618,00","-36.153.857.024.309.500,00","4.841.459.791.928.920,00","-14.803.245.208.634.600,00",1,0,0,1,0,1.0,"16.381.992.019.240.500,00","22.048.441.479.462.400,00","2.631.578.947.368.420,00",38.0
876,578.0,69.0,4.0,0.0,2.0,1,1,48930.8,0,"-11.413,32","-232.972,25","-49.161,62","9.908,99","-1.494.481,79",1,0,0,0,1,2.0,0.0,0.0,"57.971.014.492.753.600,00",276.0
2748,677.0,25.0,8.0,130866.19,1.0,0,0,42410.21,1,"741,39","-18.567,82","16.865,73","4.714,80","6.165,81",0,0,1,0,1,0.0,"20.890.349.430.007.500,00","30.857.236.971.946.100,00",0.32,200.0
1746,757.0,45.0,10.0,89837.77,1.0,0,0,156598.23,1,"-504.486.068,22","3.315.653.514,46","3.258.342.032,03","-9.014.725.793,57","139.929.480.108,64",0,0,1,1,0,0.0,"43.427.816.451.054.300,00","5.736.831.763.679.570,00","2.222.222.222.222.220,00",450.0
644,587.0,27.0,9.0,0.0,2.0,1,0,198091.81,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,"3.333.333.333.333.330,00",243.0
2655,623.0,36.0,6.0,0.0,2.0,1,0,17802.42,0,"-23.882.816.940.825.800,00","20.453.348.806.758.500,00","26.712.710.874.340.100,00","9.073.146.426.820.740,00","-61.929.869.178.883.900,00",0,0,1,1,0,0.0,0.0,0.0,"16.666.666.666.666.600,00",216.0
557,699.0,43.0,7.0,0.0,1.0,1,1,187988.23,1,"33,73","-3.674,32","-415,87","568,74","-2.489,94",1,0,0,1,0,1.0,0.0,0.0,"16.279.069.767.441.800,00",301.0
1977,652.0,28.0,9.0,135650.82,1.0,1,1,101382.86,0,"-24.799.456,18","-95.447.271,36","2.086.019.291,12","-878.346.292,94","4.337.081.086,10",0,1,0,0,1,1.0,"8.723.795.584.381.810,00","13.380.054.577.272.700,00","32.142.857.142.857.100,00",252.0
1746,649.0,40.0,9.0,0.0,1.0,1,1,155047.77,1,"-504.486.068,22","3.315.653.514,46","3.258.342.032,03","-9.014.725.793,57","139.929.480.108,64",1,0,0,1,0,1.0,0.0,0.0,"225,00",360.0
690,619.0,44.0,3.0,143350.61,1.0,0,1,93873.61,0,"1.046.870,11","-4.719.734.781,12","-687.789.411,15","803.796.941,53","-13.839.854.112,21",1,0,0,1,0,1.0,"9.452.499.758.984.440,00","15.270.597.348.924.700,00","6.818.181.818.181.810,00",132.0
1839,697.0,33.0,6.0,0.0,1.0,0,1,735.79,0,"-66.437.383,66","25.345.191,68","-222.778.267,11","321.315.409,89","182.549.057,12",1,0,0,0,1,1.0,0.0,0.0,"18.181.818.181.818.100,00",198.0
798,750.0,26.0,10.0,96553.52,2.0,1,0,140075.55,1,"-97,10","23.112,63","-1.977,59","13.301,14","-26.712,78",0,1,0,1,0,0.0,"5.169.720.197.422.030,00","689.296.026.322.938,00","38.461.538.461.538.400,00",260.0
2040,687.0,40.0,7.0,0.0,2.0,0,1,175514.71,0,"-441.988.475,62","2.943.351.510,57","10.240.278.382,13","472.817.473,32","-13.985.800.176,39",0,0,1,0,1,2.0,0.0,0.0,"175,00",280.0
1660,797.0,35.0,7.0,121263.62,2.0,1,0,13387.88,0,"6.710.404,59","-136.135.795,86","286.560.074,04","1.152.805.669,83","147.761.091,93",0,1,0,1,0,0.0,"7.218.999.956.677.230,00","9.057.716.382.280.090,00",0.2,245.0
2,714.0,48.0,4.0,0.0,1.0,1,0,11638.17,1,"-117,67","-458,91","-96,76","-6.527,53","-34.113,62",1,0,0,1,0,0.0,0.0,0.0,"8.333.333.333.333.330,00",192.0
441,588.0,41.0,6.0,143966.3,2.0,1,0,49713.87,0,"4.642.149.964.651.770,00","8.392.933.419.600.220,00","-4.454.398.802.156.520,00","8.448.597.821.131.990,00","-19.691.985.973.327.500,00",0,1,0,1,0,0.0,"1.702.788.062.969.140,00","28.958.980.662.740.500,00","14.634.146.341.463.400,00",246.0
1951,645.0,32.0,3.0,123067.63,1.0,0,0,138700.86,0,"-2.024.578.122,37","769.394.154,12","127.281.731.576,89","32.762.644.155,41","17.326.648.447,12",1,0,0,1,0,0.0,"5.723.008.592.015.940,00","8.872.881.538.009.210,00","9.375,00",96.0
2856,819.0,36.0,1.0,120656.86,4.0,0,0,166164.3,1,"-69.554.484,95","-129.054.572,16","-406.974.431,58","-624.494.856,66","-11.820.044.795,39",0,1,0,1,0,0.0,"594.700.355.852.611,00","7.261.298.606.258.980,00","27.777.777.777.777.700,00",36.0
1642,663.0,37.0,9.0,0.0,1.0,0,1,131625.14,0,"22.899.287.993.415.800,00","-35.239.375.060.459.000,00","-1.047.081.420.579.200,00","15.209.271.710.300.700,00","10.424.041.916.254.300,00",1,0,0,1,0,1.0,0.0,0.0,"24.324.324.324.324.300,00",333.0
2436,592.0,55.0,4.0,141792.61,2.0,1,1,112311.15,0,"-3.095.615.848.582.260,00","20.076.940.125.195.500,00","10.732.717.494.565.800,00","-2.162.793.856.410.280,00","11.919.481.848.666.800,00",0,0,1,1,0,2.0,"7.473.988.568.365.650,00","12.624.980.689.806.800,00","7.272.727.272.727.270,00",220.0
1235,693.0,39.0,1.0,0.0,2.0,1,1,159892.84,0,"-112.048.491.801,31","6.036.094.126,78","578.610.438.449,27","-9.096.838.200.160.910,00","813.769.516,74",1,0,0,1,0,2.0,0.0,0.0,"2.564.102.564.102.560,00",39.0
876,591.0,28.0,5.0,0.0,2.0,1,1,48382.4,0,"-11.413,32","-232.972,25","-49.161,62","9.908,99","-1.494.481,79",0,0,1,0,1,2.0,0.0,0.0,"17.857.142.857.142.800,00",140.0
2918,688.0,46.0,3.0,139914.6,1.0,1,0,129964.94,1,"1.483.363.216,61","20.112.691.718,99","-20.377.871.896,73","-4.718.910.672,43","-37.259.682.056,98",0,1,0,0,1,0.0,"7.406.708.670.815.370,00","1.076.556.492.851.070,00","6.521.739.130.434.780,00",138.0
2570,649.0,40.0,7.0,0.0,2.0,1,1,136535.56,0,"7.404.551.884.214.980,00","-1.557.829.865.650.530,00","6.473.074.857.287.980,00","-17.903.768.801.332.700,00","9.854.938.557.155.760,00",0,0,1,0,1,2.0,0.0,0.0,"175,00",280.0
2110,725.0,26.0,6.0,0.0,2.0,1,0,86099.23,0,"32,57","-1.197,29","-495,07","-678,78","-2.924,34",1,0,0,0,1,0.0,0.0,0.0,"23.076.923.076.923.000,00",156.0
2751,619.0,28.0,4.0,130142.79,1.0,1,1,38190.78,0,"83.065.226.551,40","9.769.052.344.005.960,00","16.065.539.886.799,00","-7.042.490.682.870.180,00","18.834.370.862.998,00",1,0,0,0,1,1.0,"2.109.367.418.261.680,00","34.077.018.065.616.800,00","14.285.714.285.714.200,00",112.0
1468,572.0,46.0,4.0,139979.07,1.0,1,0,185662.84,1,"-276,73","3.318,70","581,12","-12.210,16","-19.974,66",0,1,0,1,0,0.0,"4.312.549.998.696.560,00","7.539.423.074.644.330,00","8.695.652.173.913.040,00",184.0
441,732.0,40.0,4.0,129433.34,1.0,1,0,158891.79,0,"4.642.149.964.651.770,00","8.392.933.419.600.220,00","-4.454.398.802.156.520,00","8.448.597.821.131.990,00","-19.691.985.973.327.500,00",1,0,0,0,1,0.0,"5.962.876.047.906.560,00","8.146.005.529.927.000,00",0.1,160.0
795,735.0,27.0,5.0,0.0,2.0,0,1,103931.49,0,"5,45","-138,81","-459,69","12.762,49","-498,97",1,0,0,1,0,2.0,0.0,0.0,"18.518.518.518.518.500,00",135.0
2061,682.0,28.0,2.0,95059.02,2.0,0,1,44420.18,0,"17.669.792.335.250.700,00","-11.055.541.888.179.200,00","19.522.408.197.988.300,00","17.445.254.364.857.300,00","-4.721.835.826.888.340,00",1,0,0,1,0,2.0,"1.459.477.463.621.260,00","21.399.962.809.695.900,00","7.142.857.142.857.140,00",56.0
1418,729.0,46.0,3.0,85906.55,1.0,1,0,86977.8,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,"7.200.213.726.951.010,00","9.876.836.388.135.820,00","6.521.739.130.434.780,00",138.0
1362,653.0,50.0,7.0,141203.58,1.0,0,0,161323.71,1,"-72.209.360.028,78","-10.461.631.817.033.800,00","131.291.330.459.128,00","846.300.277.850.006,00","16.075.843.065.996.200,00",1,0,0,1,0,0.0,"5.715.585.002.353.340,00","8.752.810.110.801.440,00",0.14,350.0
2047,712.0,37.0,2.0,0.0,2.0,1,0,126812.63,0,"-21.136.746.909,35","103.156.366.823,65","7.501.593.559,39","-11.024.922.827.403.700,00","60.026.266.256,13",1,0,0,1,0,0.0,0.0,0.0,"5.405.405.405.405.400,00",74.0
2869,520.0,36.0,9.0,93249.4,1.0,1,1,77335.75,0,"-743.714,83","26.651.785,27","-48.498.133,89","42.269.614,75","-37.518.951,12",1,0,0,1,0,1.0,"6.270.022.337.664.010,00","12.057.735.264.738.400,00",0.25,324.0
378,709.0,34.0,5.0,158623.14,1.0,1,0,60429.43,0,"2.273,79","5.620,81","117.703,94","66.135,64","-84.774,74",1,0,0,1,0,0.0,"18.610.767.346.307.900,00","26.249.319.247.260.800,00","14.705.882.352.941.100,00",170.0
2570,718.0,48.0,4.0,0.0,2.0,1,1,72105.63,0,"7.404.551.884.214.980,00","-1.557.829.865.650.530,00","6.473.074.857.287.980,00","-17.903.768.801.332.700,00","9.854.938.557.155.760,00",1,0,0,0,1,2.0,0.0,0.0,"8.333.333.333.333.330,00",192.0
2436,488.0,33.0,3.0,102945.01,1.0,0,0,95611.74,1,"-3.095.615.848.582.260,00","20.076.940.125.195.500,00","10.732.717.494.565.800,00","-2.162.793.856.410.280,00","11.919.481.848.666.800,00",1,0,0,0,1,0.0,"5.254.288.320.660.200,00","10.766.984.263.647.900,00","9.090.909.090.909.090,00",99.0
2655,717.0,60.0,7.0,0.0,1.0,1,1,129590.27,1,"-23.882.816.940.825.800,00","20.453.348.806.758.500,00","26.712.710.874.340.100,00","9.073.146.426.820.740,00","-61.929.869.178.883.900,00",1,0,0,0,1,1.0,0.0,0.0,"11.666.666.666.666.600,00",420.0
436,706.0,48.0,5.0,142400.27,1.0,1,0,114775.24,1,"5.449.123.305.810.480,00","16.657.454.475.856.500,00","-601.702.975.586.823,00","-1.002.423.928.197.790,00","-4.477.551.688.263.680,00",0,1,0,0,1,0.0,"8.759.257.712.726.190,00","12.406.880.612.926.600,00","10.416.666.666.666.600,00",240.0
439,725.0,65.0,8.0,0.0,2.0,1,1,96885.19,0,"9.435.391.956.805.470,00","-437.092.743.211.754,00","14.211.820.352.228.600,00","21.750.816.178.329.000,00","-551.499.343.660.105,00",1,0,0,0,1,2.0,0.0,0.0,"12.307.692.307.692.300,00",520.0
1997,459.0,48.0,3.0,0.0,1.0,1,1,50016.17,1,"-3.071.787,73","-335.803.793,63","-183.154.883,51","-78.246.606,75","-47.982.182,45",1,0,0,0,1,1.0,0.0,0.0,"625,00",144.0
1977,653.0,29.0,9.0,0.0,2.0,1,1,62746.36,0,"-24.799.456,18","-95.447.271,36","2.086.019.291,12","-878.346.292,94","4.337.081.086,10",1,0,0,0,1,2.0,0.0,0.0,"3.103.448.275.862.060,00",261.0
2893,646.0,34.0,6.0,162318.61,1.0,1,0,55313.44,0,"-106.432.133.286,51","-7.303.719.367,92","-6.863.056.884,36","-1.411.466.142.607.620,00","-14.290.734.866.233.400,00",1,0,0,0,1,0.0,"18.957.024.198.820.300,00","29.345.238.697.864.300,00","17.647.058.823.529.400,00",204.0
1895,587.0,35.0,3.0,83286.56,2.0,1,0,125553.52,1,"-313.534,40","4.344.158,95","4.009.609,71","-2.394.315,59","-140.977.303,96",0,0,1,1,0,0.0,"38.938.940.716.277.800,00","6.633.550.377.560.100,00","8.571.428.571.428.570,00",105.0
1351,619.0,35.0,3.0,0.0,2.0,1,0,65611.01,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,"8.571.428.571.428.570,00",105.0
165,751.0,30.0,8.0,0.0,1.0,1,0,117023.09,1,"32.773.960,60","135.956.201.186,88","124.862.989.792,27","-119.249.709.468,16","-27.162.696.939,08",1,0,0,1,0,0.0,0.0,0.0,"26.666.666.666.666.600,00",240.0
545,656.0,33.0,2.0,152367.21,1.0,1,1,131662.47,0,"6.978.305.687,21","-17.313.896.779,75","-250.980.223.674,81","11.816.984.951.506.200,00","-13.208.576.987.471.600,00",1,0,0,1,0,1.0,"7.591.600.686.209.210,00","11.572.562.021.660.300,00","6.060.606.060.606.060,00",66.0
1550,850.0,32.0,9.0,0.0,2.0,0,0,179360.76,0,"-17.473.545.928,23","-470.035.650,43","124.701.203.403,51","-35.632.228.346,10","8.317.556.000,92",1,0,0,1,0,0.0,0.0,0.0,"28.125,00",288.0
2760,525.0,35.0,7.0,165358.77,1.0,1,0,94738.54,0,"-5.028,47","-2,11","26.288,69","-1.132.611,90","-67.471,67",1,0,0,0,1,0.0,"9.163.467.607.797.200,00","17.454.224.014.851.800,00",0.2,245.0
1804,634.0,41.0,4.0,0.0,1.0,0,1,143681.83,0,"-1.113.084.429,16","106.619.645.646,74","36.542.304.809,98","-7.735.910.338,06","-185.368.864.051,76",1,0,0,0,1,1.0,0.0,0.0,"975.609.756.097.561,00",164.0
